 ****** HSPICE -- L-2016.06-SP2-2 linux64 (Jan 24 2017) RHEL64    ******
  Copyright (c) 1986 - 2017 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
3
#Number of plot points
30
#Number of Measures
4
#Measure names (Last column gives StdNormalQuantiles)
fall_difference,fall_time,rise_difference,rise_time,StdNormalQuantiles
5.052338e-11,1.289309e-11,3.887709e-11,1.141308e-11,-2.128045
5.06598e-11,1.299092e-11,3.916467e-11,1.163662e-11,-1.644854
5.173453e-11,1.302395e-11,4.027065e-11,1.17159e-11,-1.382994
5.200463e-11,1.3044e-11,4.106464e-11,1.171987e-11,-1.191816
5.229573e-11,1.313104e-11,4.148076e-11,1.173894e-11,-1.036433
5.276401e-11,1.314755e-11,4.1814e-11,1.175655e-11,-0.9027348
5.355948e-11,1.315658e-11,4.343846e-11,1.179361e-11,-0.7835004
5.360423e-11,1.321286e-11,4.382948e-11,1.182326e-11,-0.6744898
5.370281e-11,1.322996e-11,4.43861e-11,1.187785e-11,-0.5729675
5.370594e-11,1.331211e-11,4.441003e-11,1.19053e-11,-0.4770404
5.429194e-11,1.333156e-11,4.521338e-11,1.192112e-11,-0.3853205
5.530816e-11,1.340328e-11,4.56466e-11,1.192557e-11,-0.2967378
5.574239e-11,1.345194e-11,4.607385e-11,1.192964e-11,-0.2104284
5.579864e-11,1.352905e-11,4.635966e-11,1.20057e-11,-0.1256613
5.587618e-11,1.359316e-11,4.645949e-11,1.207313e-11,-0.0417893
5.640844e-11,1.361361e-11,4.655747e-11,1.208906e-11,0.0417893
5.665383e-11,1.362561e-11,4.674301e-11,1.211446e-11,0.1256613
5.665677e-11,1.364844e-11,4.688558e-11,1.215485e-11,0.2104284
5.727553e-11,1.36726e-11,4.694672e-11,1.218771e-11,0.2967378
5.762038e-11,1.367932e-11,4.736724e-11,1.222744e-11,0.3853205
5.770209e-11,1.368204e-11,4.750351e-11,1.227807e-11,0.4770404
5.77979e-11,1.372086e-11,4.758182e-11,1.229009e-11,0.5729675
5.841381e-11,1.372999e-11,4.791925e-11,1.232088e-11,0.6744898
5.882887e-11,1.376915e-11,4.854649e-11,1.234332e-11,0.7835004
5.886634e-11,1.399609e-11,4.989659e-11,1.234799e-11,0.9027348
5.938711e-11,1.411929e-11,4.99244e-11,1.240924e-11,1.036433
6.115662e-11,1.419106e-11,4.993867e-11,1.244519e-11,1.191816
6.188599e-11,1.421692e-11,5.080219e-11,1.245052e-11,1.382994
6.207249e-11,1.42283e-11,5.081499e-11,1.265051e-11,1.644854
6.308454e-11,1.442753e-11,5.301629e-11,1.293067e-11,2.128045
