 ****** HSPICE -- L-2016.06-SP2-2 linux64 (Jan 24 2017) RHEL64    ******
  Copyright (c) 1986 - 2017 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
4
#Number of samples in each tail
3
#Measure names
fall_difference,fall_time,rise_difference,rise_time
#Measure values in left tail
5.0523384e-11,1.2893086e-11,3.8877090e-11,1.1413078e-11
5.0659796e-11,1.2990918e-11,3.9164669e-11,1.1636617e-11
5.1734533e-11,1.3023955e-11,4.0270655e-11,1.1715899e-11
#Measure values in right tail
6.1885993e-11,1.4216925e-11,5.0802185e-11,1.2450519e-11
6.2072493e-11,1.4228301e-11,5.0814991e-11,1.2650512e-11
6.3084537e-11,1.4427526e-11,5.3016294e-11,1.2930674e-11
#Index values in left tail
17,18,28,15
14,30,15,6
27,3,30,14
#Index values in right tail
4,17,24,26
22,12,4,7
7,20,7,22
