['Gate Name', Sum of Signal Input and Output CC Values, Number Suspicious Inputs, Number Suspicious Outputs]
['U1948 (2410) INV (INVX1)', 46.17358552246078, 1, 1]
['U1847 (2678) NAND (NAND2X1)', 47.11071404076813, 1, 1]
['U1958 (2420) NAND (NAND2X1)', 48.106784767624, 1, 1]
['U1848 (2415) NAND (NAND2X1)', 49.10601642374577, 1, 1]
['U2029 (1762) NOR (NOR2X1)', 51.03921566890898, 1, 1]
['U3194 (2937) AND (AND2X1)', 66.03272737412864, 1, 1]
['U1928 (2690) XOR (XOR2X1)', 69.5085649167978, 2, 1]
['U1757 (2691) XOR (XOR3X1)', 70.30370217901991, 2, 1]
['U1915 (2830) NAND (NAND2X1)', 75.02666192761077, 1, 0]
['U2252 (3280) XOR (XOR2X1)', 82.02438661763952, 1, 1]
['U2383 (2859) AND (AO22X1)', 86.00581375697809, 1, 0]
['U3193 (2936) AND (AND2X1)', 102.04901864833639, 2, 1]
['U1916 (2829) NAND (NAND4X1)', 121.2005731195699, 2, 1]
['U2385 (2686) AND (AND3X1)', 132.30283398221061, 3, 1]
['U2384 (2687) NAND (NAND4X1)', 152.0361098338548, 1, 1]
['U3209 (3451) AND (AND4X1)', 170.06679510647308, 3, 1]
['U3198 (2942) NOR (NOR2X1)', 185.01086413320888, 1, 1]
['U3203 (2945) AND (AND2X1)', 255.0, 1, 0]
['U3210 (3445) AND (AND2X1)', 255.0, 0, 1]
['U3214 (3446) AND (AND4X1)', 255.0, 1, 0]
['U3214 (3446) AND (AND4X1)', 255.0, 0, 1]
['U3219 (3456) MUX (MUX21X2)', 255.0019607767752, 1, 0]
['U3202 (2944) AND (AND4X1)', 282.02901929815107, 2, 1]
['U3204 (3453) BUF (DFFNX2)', 360.62445840513925, 0, 1]
['U3197 (2941) AND (AND4X1)', 372.042530353556, 3, 1]
['U3203 (2945) AND (AND2X1)', 414.0031446229916, 1, 1]
['U3215 (3452) AND (AND2X1)', 607.0051545022222, 2, 1]
['U3204/udp_dff0 (3970) DFF (udp_dff)', 615.6244584051392, 1, 1]
['U3218 (3455) AND (AND2X1)', 615.6264191819145, 1, 1]
['U3216/udp_dff0 (3971) DFF (udp_dff)', 976.2489168102784, 2, 1]
